HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0000001,1-Methylhistidine,CN1C=NC(C[C@H](N)C(O)=O)=C1,BRMWTNUJHUMWMS-LURJTMIESA-N,C7H11N3O2,169.1811,169.085126611
HMDB0000002,"1,3-Diaminopropane",NCCCN,XFNJVJPLKCPIBV-UHFFFAOYSA-N,C3H10N2,74.1249,74.08439833
HMDB0000005,2-Ketobutyric acid,CCC(=O)C(O)=O,TYEYBOSBBBHJIV-UHFFFAOYSA-N,C4H6O3,102.0886,102.031694058
HMDB0000008,2-Hydroxybutyric acid,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])[H],AFENDNXGAFYKQO-VKHMYHEASA-N,C4H8O3,104.105,104.047344118
HMDB0000010,2-Methoxyestrone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,WHEUWNKSCXYKBU-QPWUGHHJSA-N,C19H24O3,300.3921,300.172544634
HMDB0000011,3-Hydroxybutyric acid,C[C@@H](O)CC(O)=O,WHBMMWSBFZVSSR-GSVOUGTGSA-N,C4H8O3,104.1045,104.047344122
HMDB0000012,Deoxyuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,MXHRCPNRJAMMIM-SHYZEUOFSA-N,C9H12N2O5,228.202,228.074621504
HMDB0000014,Deoxycytidine,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,C9H13N3O4,227.2172,227.090605919
HMDB0000015,Cortexolone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,WHBHBVVOGNECLV-OBQKJFGGSA-N,C21H30O4,346.4605,346.214409448
HMDB0000016,Deoxycorticosterone,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,ZESRJSPZRDMNHY-YFWFAHHUSA-N,C21H30O3,330.4611,330.219494826
HMDB0000017,4-Pyridoxic acid,CC1=NC=C(CO)C(C(O)=O)=C1O,HXACOUQIXZGNBF-UHFFFAOYSA-N,C8H9NO4,183.1614,183.053157781
HMDB0000019,alpha-Ketoisovaleric acid,CC(C)C(=O)C(O)=O,QHKABHOOEWYVLI-UHFFFAOYSA-N,C5H8O3,116.1152,116.047344122
HMDB0000020,p-Hydroxyphenylacetic acid,OC(=O)CC1=CC=C(O)C=C1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,C8H8O3,152.1473,152.047344122
HMDB0000022,3-Methoxytyramine,COC1=C(O)C=CC(CCN)=C1,DIVQKHQLANKJQO-UHFFFAOYSA-N,C9H13NO2,167.205,167.094628665
HMDB0000023,(S)-3-Hydroxyisobutyric acid,C[C@@H](CO)C(O)=O,DBXBTMSZEOQQDU-VKHMYHEASA-N,C4H8O3,104.1045,104.047344122
HMDB0000024,3-O-Sulfogalactosylceramide (d18:1/24:0),[H][C@@](CO[C@@H]1O[C@H](CO)[C@H](O)C(OS(O)(=O)=O)C1O)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)[C@]([H])(O)\C=C\CCCCCCCCCCCCC,MEAZTWJVOWHKJM-YQTIZROBSA-N,C48H93NO11S,892.33,891.646933993
HMDB0000026,Ureidopropionic acid,NC(=O)NCCC(O)=O,JSJWCHRYRHKBBW-UHFFFAOYSA-N,C4H8N2O3,132.1179,132.053492132
HMDB0000030,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,C10H16N2O3S,244.311,244.088163078
HMDB0000031,Androsterone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,QGXBDMJGAMFCBF-HLUDHZFRSA-N,C19H30O2,290.4403,290.224580204
HMDB0000032,7-Dehydrocholesterol,[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,UCTLRSWJYQTBFZ-DDPQNLDTSA-N,C27H44O,384.6377,384.33921603
HMDB0000033,Carnosine,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,CQOVPNPJLQNMDC-ZETCQYMHSA-N,C9H14N4O3,226.2325,226.106590334
HMDB0000034,Adenine,NC1=C2NC=NC2=NC=N1,GFFGJBXGBJISGV-UHFFFAOYSA-N,C5H5N5,135.1267,135.054495185
HMDB0000036,Taurocholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,WBWWGRHZICKQGZ-HZAMXZRMSA-N,C26H45NO7S,515.703,515.291673489
HMDB0000037,Aldosterone,[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,C21H28O5,360.444,360.193674006
HMDB0000038,Dihydrobiopterin,C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O,FEMXZDUTFRTWPE-DZSWIPIPSA-N,C9H13N5O3,239.2312,239.101839307
HMDB0000039,Butyric acid,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,C4H8O2,88.1051,88.0524295
HMDB0000042,Acetic acid,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,C2H4O2,60.052,60.021129372
HMDB0000043,Betaine,C[N+](C)(C)CC(O)=O,KWIUHFFTVRNATP-UHFFFAOYSA-O,C5H12NO2,118.1543,118.086803633
HMDB0000044,Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C6H8O6,176.1241,176.032087988
HMDB0000045,Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,UDMBCSSLTHHNCD-KQYNXXCUSA-N,C10H14N5O7P,347.2212,347.063084339
HMDB0000048,Melibiose,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,DLRVVLDZNNYCBX-CQHUIXDMSA-N,C12H22O11,342.2965,342.116211546
HMDB0000050,Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C10H13N5O4,267.2413,267.096753929
HMDB0000051,Ammonia,N,QGZKDVFQNNGYKY-UHFFFAOYSA-N,H3N,17.0305,17.026549101
HMDB0000052,Argininosuccinic acid,N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,KDZOASGQNOPSCU-WDSKDSINSA-N,C10H18N4O6,290.2731,290.122634328
HMDB0000053,Androstenedione,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,AEMFNILZOJDQLW-QAGGRKNESA-N,C19H26O2,286.4085,286.193280076
HMDB0000054,Bilirubin,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,BPYKTIZUTYGOLE-IFADSCNNSA-N,C33H36N4O6,584.6621,584.263484904
HMDB0000055,Cellobiose,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,GUBGYTABKSRVRQ-QRZGKKJRSA-N,C12H22O11,342.2965,342.116211546
HMDB0000056,beta-Alanine,NCCC(O)=O,UCMIRNVEIXFBKS-UHFFFAOYSA-N,C3H7NO2,89.0932,89.047678473
HMDB0000058,Cyclic AMP,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,IVOMOUWHDPKRLL-KQYNXXCUSA-N,C10H12N5O6P,329.2059,329.052519653
HMDB0000060,Acetoacetic acid,CC(=O)CC(O)=O,WDJHALXBUFZDSR-UHFFFAOYSA-N,C4H6O3,102.0886,102.031694058
HMDB0000062,L-Carnitine,C[N+](C)(C)C[C@H](O)CC([O-])=O,PHIQHXFUZVPYII-ZCFIWIBFSA-N,C7H15NO3,161.1989,161.105193351
HMDB0000063,Cortisol,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,JYGXADMDTFJGBT-VWUMJDOOSA-N,C21H30O5,362.4599,362.20932407
HMDB0000064,Creatine,CN(CC(O)=O)C(N)=N,CVSVTCORWBXHQV-UHFFFAOYSA-N,C4H9N3O2,131.1332,131.069476547
HMDB0000067,Cholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,HVYWMOMLDIMFJA-DPAQBDIFSA-N,C27H46O,386.6535,386.354866094
HMDB0000068,Epinephrine,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,C9H13NO3,183.2044,183.089543287
HMDB0000070,Pipecolic acid,OC(=O)C1CCCCN1,HXEACLLIILLPRG-UHFFFAOYSA-N,C6H11NO2,129.157,129.078978601
HMDB0000071,Deoxyinosine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O,VGONTNSXDCQUGY-RRKCRQDMSA-N,C10H12N4O4,252.23,252.085854882
HMDB0000072,cis-Aconitic acid,OC(=O)C\C(=C\C(O)=O)C(O)=O,GTZCVFVGUGFEME-IWQZZHSRSA-N,C6H6O6,174.1082,174.016437924
HMDB0000073,Dopamine,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C8H11NO2,153.1784,153.078978601
HMDB0000076,Dihydrouracil,O=C1CCNC(=O)N1,OIVLITBTBDPEFK-UHFFFAOYSA-N,C4H6N2O2,114.1026,114.042927446
HMDB0000077,Dehydroepiandrosterone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,FMGSKLZLMKYGDP-USOAJAOKSA-N,C19H28O2,288.4244,288.20893014
HMDB0000078,Cysteinylglycine,N[C@@H](CS)C(=O)NCC(O)=O,ZUKPVRWZDMRIEO-VKHMYHEASA-N,C5H10N2O3S,178.21,178.041212886
HMDB0000079,Dihydrothymine,C[C@H]1CNC(=O)NC1=O,NBAKTGXDIBVZOO-VKHMYHEASA-N,C5H8N2O2,128.131,128.058577506
HMDB0000085,Deoxyguanosine,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,YKBGVTZYEHREMT-KVQBGUIXSA-N,C10H13N5O4,267.2413,267.096753929
HMDB0000086,Glycerophosphocholine,C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO,SUHOQUVVVLNYQR-MRVPVSSYSA-N,C8H20NO6P,257.223,257.102824366
HMDB0000087,Dimethylamine,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,C2H7N,45.0837,45.057849229
HMDB0000089,Cytidine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,UHDGCWIWMRVCDJ-XVFCMESISA-N,C9H13N3O5,243.2166,243.085520541
HMDB0000092,Dimethylglycine,CN(C)CC(O)=O,FFDGPVCHZBVARC-UHFFFAOYSA-N,C4H9NO2,103.1198,103.063328537
HMDB0000094,Citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C6H8O7,192.1235,192.02700261
HMDB0000097,Choline,C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C5H14NO,104.1708,104.107539075
HMDB0000098,D-Xylose,O[C@@H]1COC(O)[C@H](O)[C@H]1O,SRBFZHDQGSBBOR-IOVATXLUSA-N,C5H10O5,150.1299,150.05282343
HMDB0000099,L-Cystathionine,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,ILRYLPWNYFXEMH-WHFBIAKZSA-N,C7H14N2O4S,222.262,222.067427636
